,Run,DatasetSize,Distribution,Parameter,#threads,SearchAlgorithm,RecordSizeBytes,TimeNS
341,3,100000,uniform,42,1,bs,8,92.8
342,3,100000,uniform,42,1,bs,8,92.0
343,3,100000,uniform,42,1,bs,8,93.1
344,3,100000,uniform,42,1,bs,8,93.2
345,3,100000,uniform,42,1,bs,8,92.5
346,3,100000,uniform,42,1,bs,8,92.4
347,3,100000,uniform,42,1,bs,8,93.0
348,3,100000,uniform,42,1,bs,8,114.8
349,3,100000,uniform,42,1,bs,8,94.0
350,3,100000,uniform,42,1,bs,8,92.7
351,3,100000,uniform,42,1,bs,8,92.8
352,3,100000,uniform,42,1,bs,8,93.5
353,3,100000,uniform,42,1,bs,8,93.1
354,3,100000,uniform,42,1,bs,8,92.5
355,3,100000,uniform,42,1,bs,8,93.1
356,3,100000,uniform,42,1,bs,8,93.0
357,3,100000,uniform,42,1,bs,8,93.6
358,3,100000,uniform,42,1,bs,8,112.9
359,3,100000,uniform,42,1,bs,8,93.7
360,3,100000,uniform,42,1,bs,8,92.9
361,3,100000,uniform,42,1,bs,8,92.4
362,3,100000,uniform,42,1,bs,8,93.6
363,3,100000,uniform,42,1,bs,8,93.5
364,3,100000,uniform,42,1,bs,8,93.5
365,3,100000,uniform,42,1,bs,8,92.6
366,3,100000,uniform,42,1,bs,8,92.6
367,3,100000,uniform,42,1,bs,8,92.8
368,3,100000,uniform,42,1,bs,8,96.0
369,3,100000,uniform,42,1,bs,8,112.7
370,3,100000,uniform,42,1,bs,8,93.7
371,3,100000,uniform,42,1,bs,8,91.8
372,3,100000,uniform,42,1,bs,8,93.0
373,3,100000,uniform,42,1,bs,8,92.2
374,3,100000,uniform,42,1,bs,8,93.2
375,3,100000,uniform,42,1,bs,8,92.9
376,3,100000,uniform,42,1,bs,8,92.8
377,3,100000,uniform,42,1,bs,8,92.9
378,3,100000,uniform,42,1,bs,8,93.2
379,3,100000,uniform,42,1,bs,8,120.2
380,3,100000,uniform,42,1,bs,8,94.8
381,3,100000,uniform,42,1,bs,8,93.4
382,3,100000,uniform,42,1,bs,8,93.1
383,3,100000,uniform,42,1,bs,8,92.6
384,3,100000,uniform,42,1,bs,8,93.6
385,3,100000,uniform,42,1,bs,8,92.1
386,3,100000,uniform,42,1,bs,8,91.6
387,3,100000,uniform,42,1,bs,8,93.1
388,3,100000,uniform,42,1,bs,8,92.5
389,3,100000,uniform,42,1,bs,8,97.7
390,3,100000,uniform,42,1,bs,8,94.2
391,3,100000,uniform,42,1,bs,8,92.8
392,3,100000,uniform,42,1,bs,8,93.1
393,3,100000,uniform,42,1,bs,8,92.1
394,3,100000,uniform,42,1,bs,8,92.3
395,3,100000,uniform,42,1,bs,8,93.3
396,3,100000,uniform,42,1,bs,8,92.4
397,3,100000,uniform,42,1,bs,8,92.6
398,3,100000,uniform,42,1,bs,8,93.1
399,3,100000,uniform,42,1,bs,8,91.9
